tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
45,7,-2.537370,-1.475620,106.4560,119.9500
45,11,-2.720120,-1.049800,22.9553,66.1741
45,12,-2.788780,-1.254450,23.3737,85.1569
45,13,-2.613440,-1.291190,33.0603,102.2630
45,14,-2.598140,-1.291190,37.1049,110.0970
45,15,-2.548490,-1.291190,45.7734,110.0970
46,5,-1.775780,-0.314319,43.3692,119.9180
46,6,-1.705020,-0.469940,71.8298,119.9680
46,7,-1.665970,-0.604187,106.4560,119.9500
46,11,-1.887150,-0.421505,22.9506,74.4033
46,12,-1.887150,-0.352799,23.3733,85.1561
46,13,-1.940250,-0.528163,33.0883,102.2620
46,14,-1.700520,-0.543467,37.1048,110.0980
46,15,-1.675850,-0.593060,45.7734,110.0980
47,5,-1.077650,0.383827,43.3692,119.9180
47,6,-0.982131,0.257125,71.8298,119.9680
47,7,-0.967863,0.093931,106.4560,119.9500
47,11,-1.217980,0.432584,22.9491,74.4018
47,12,-1.217980,0.432584,23.3733,85.1561
47,13,-1.042630,0.369449,33.2136,102.2630
47,14,-1.027350,0.310621,37.1048,110.0980
47,15,-0.977736,0.105057,45.7734,110.0980
